State_Name,District_Name,Crop_Year,Season,Crop,Area,Rainfall,MaxTemp,Production,Productivity
Maharashtra,GONDIA,2018,Kharif     ,Rice,172800,1370.7,33.89,294800,1.71
Maharashtra,HINGOLI,2018,Kharif     ,Rice,600,583.9,33.91,100,0.17
Maharashtra,JALGAON,2018,Kharif     ,Rice,500,721.9,33.81,200,0.4
Maharashtra,JALNA,2018,Kharif     ,Rice,6300,910,34.1,2800,0.44
Maharashtra,KOLHAPUR,2018,Kharif     ,Rice,600,1992.8,29.2,2000,3.33
Maharashtra,LATUR,2018,Kharif     ,Rice,20500,849.3,33.91,6700,0.33
Maharashtra,NAGPUR,2018,Kharif     ,Rice,57500,1068.4,33.1,54600,0.95
Maharashtra,NANDED,2018,Kharif     ,Rice,16400,931.3,34.08,8200,0.5
Maharashtra,NANDURBAR,2018,Kharif     ,Rice,20000,1144,33.26,16900,0.85
Maharashtra,NASHIK,2018,Kharif     ,Rice,50300,1306,31.56,58700,1.17
Maharashtra,OSMANABAD,2018,Kharif     ,Rice,166,705,34.8,69,0.42
Maharashtra,PALGHAR,2018,Kharif     ,Rice,125400,785.1,31.8,332200,2.65
Maharashtra,PARBHANI,2018,Kharif     ,Rice,9100,893.4,33.16,4200,0.46
Maharashtra,PUNE,2018,Kharif     ,Rice,82100,1007.3,30.54,136100,1.66
Maharashtra,RAIGAD,2018,Kharif     ,Rice,124000,918.1,32.44,311500,2.51
Maharashtra,RATNAGIRI,2018,Kharif     ,Rice,78000,1006.3,33.01,223100,2.86
Maharashtra,SANGLI,2018,Kharif     ,Rice,18700,730.6,30.37,38700,2.07
Maharashtra,SATARA,2018,Kharif     ,Rice,50600,912.5,31.56,76900,1.52
Maharashtra,SINDHUDURG,2018,Kharif     ,Rice,74400,3269.2,31.08,208000,2.8
Maharashtra,SOLAPUR,2018,Kharif     ,Rice,700,646.5,31.47,200,0.29
Maharashtra,THANE,2018,Kharif     ,Rice,2900,842.9,31.08,6800,2.34
Maharashtra,WARDHA,2018,Kharif     ,Rice,23400,890.7,33.1,24700,1.06
Maharashtra,WASHIM,2018,Kharif     ,Rice,1900,1048.7,33.31,1200,0.63
Maharashtra,YAVATMAL,2018,Kharif     ,Rice,2400,990.8,34.22,800,0.33
Maharashtra,AHMEDNAGAR,2019,Kharif     ,Rice,5700,409.8,31.91,8000,1.4
Maharashtra,AKOLA,2019,Kharif     ,Rice,300,715.4,32.84,200,0.67
Maharashtra,AMRAVATI,2019,Kharif     ,Rice,600,708.4,33.54,300,0.5
Maharashtra,AURANGABAD,2019,Kharif     ,Rice,200,501.7,33.61,200,1
Maharashtra,BEED,2019,Kharif     ,Rice,200,501.7,33.61,200,1
Maharashtra,BHANDARA,2019,Kharif     ,Rice,168400,1392.8,33.54,346800,2.06
Maharashtra,BULDHANA,2019,Kharif     ,Rice,600,979.4,33.65,200,0.33
Maharashtra,CHANDRAPUR,2019,Kharif     ,Rice,1613,1117,33.4,2517,1.56
Maharashtra,DHULE,2019,Kharif     ,Rice,139400,1032,33.76,190100,1.36
Maharashtra,GADCHIROLI,2019,Kharif     ,Rice,103200,2010.8,29.07,261900,2.54
Maharashtra,GONDIA,2019,Kharif     ,Rice,7700,1370.7,33.89,18200,2.36
Maharashtra,HINGOLI,2019,Kharif     ,Rice,1200,490,33.67,700,0.58
Maharashtra,JALGAON,2019,Kharif     ,Rice,1100,871.8,34.13,400,0.36
Maharashtra,JALNA,2019,Kharif     ,Rice,6700,910,34.15,3200,0.48
Maharashtra,KOLHAPUR,2019,Kharif     ,Rice,107800,1618.9,28.36,282200,2.62
Maharashtra,LATUR,2019,Kharif     ,Rice,19900,849.3,33.26,6200,0.31
Maharashtra,NAGPUR,2019,Kharif     ,Rice,70900,1068.4,33.54,80300,1.13
Maharashtra,NANDED,2019,Kharif     ,Rice,15600,801,33.89,6700,0.43
Maharashtra,NANDURBAR,2019,Kharif     ,Rice,210,1144,33.46,312,1.49
Maharashtra,NASHIK,2019,Kharif     ,Rice,49000,1306,31.98,49600,1.01
Maharashtra,OSMANABAD,2019,Kharif     ,Rice,5000,779.3,33.84,1800,0.36
Maharashtra,PALGHAR,2019,Kharif     ,Rice,8300,785.1,31.8,24600,2.96
Maharashtra,PARBHANI,2019,Kharif     ,Rice,9600,637.5,33.53,3300,0.34
